DataEnteredBy,StudyID,StudyTitle,Journal,Year_study_published,PublicationStatus,Language,Context,Genetic_group_bees,Continent,Country,Location,Lat,Long,Method_to_determine_coordinates,Treatment_Group,Status,TreatmentID,categoryTreatment,SubCategory1Treatment,SubCategory2Treatment,broadTreatment,specificTreatment,Concentration_percentage,Exposure_time_seconds,NumberOfApplications,Dosage,Dosage_units,ResponseNo.,ResponseVariableSpecies,ResponseVariableTarget,ResponseVariableCategory,BroadResponseVariable,SpecificResponseVariable,UnitsResponseVariable,specificResponseMean,specificResponseStError,SampleSize,MethodEffectivePaper,MethodtoExtractData,Data_source,Notes,Dosage_level
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Colonia,-34.188,-57.618,Google_maps,T2,treatment,T04,Chemical,Synthetic,Pyrethroid,Flumethrin,Flumethrin,NA,NA,1,2.5,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,100,NA,5,1,Provided_in_paper,Table_3,,MEDIUM
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Colonia,-34.188,-57.618,Google_maps,T2,treatment,T05,Chemical,Synthetic,Pyrethroid,Flumethrin,Flumethrin,NA,NA,1,5,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,89,NA,5,1,Provided_in_paper,Table_3,,HIGH
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Canelones,-34.36,-55.785,Google_maps,T3,control,C01,control,control,control,control,control,NA,NA,NA,NA,NA,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,1,NA,5,NA,Provided_in_paper,Table_3,,control
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Canelones,-34.36,-55.785,Google_maps,T3,treatment,T01,Chemical,Synthetic,Pyrethroid,Fluvalinate,Fluvalinate,NA,NA,1,0.3,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,92,NA,5,1,Provided_in_paper,Table_3,,LOW
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Canelones,-34.36,-55.785,Google_maps,T3,treatment,T02,Chemical,Synthetic,Pyrethroid,Fluvalinate,Fluvalinate,NA,NA,1,0.6,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,89,NA,5,1,Provided_in_paper,Table_3,,NA
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Canelones,-34.36,-55.785,Google_maps,T3,treatment,T03,Chemical,Synthetic,Pyrethroid,Fluvalinate,Fluvalinate,NA,NA,1,1.2,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,96,NA,5,1,Provided_in_paper,Table_3,,NA
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Canelones,-34.36,-55.785,Google_maps,T3,treatment,T04,Chemical,Synthetic,Pyrethroid,Fluvalinate,Fluvalinate,NA,NA,1,2.5,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,100,NA,5,1,Provided_in_paper,Table_3,,MEDIUM
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Canelones,-34.36,-55.785,Google_maps,T3,treatment,T05,Chemical,Synthetic,Pyrethroid,Fluvalinate,Fluvalinate,NA,NA,1,5,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,100,NA,5,1,Provided_in_paper,Table_3,,HIGH
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Cerro Lago,-32.819,-55.219,Google_maps,T4,control,C01,control,control,control,control,control,NA,NA,NA,NA,NA,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,1,NA,5,NA,Provided_in_paper,Table_3,,control
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Cerro Lago,-32.819,-55.219,Google_maps,T4,treatment,T01,Chemical,Synthetic,Formamidine,Amitraz,Amitraz,NA,NA,1,0.3,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,93,NA,5,1,Provided_in_paper,Table_3,,LOW
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Cerro Lago,-32.819,-55.219,Google_maps,T4,treatment,T02,Chemical,Synthetic,Formamidine,Amitraz,Amitraz,NA,NA,1,0.6,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,100,NA,5,1,Provided_in_paper,Table_3,,NA
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Cerro Lago,-32.819,-55.219,Google_maps,T4,treatment,T03,Chemical,Synthetic,Formamidine,Amitraz,Amitraz,NA,NA,1,1.2,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,100,NA,5,1,Provided_in_paper,Table_3,,MEDIUM
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Cerro Lago,-32.819,-55.219,Google_maps,T4,treatment,T04,Chemical,Synthetic,Formamidine,Amitraz,Amitraz,NA,NA,1,2.5,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,96,NA,5,1,Provided_in_paper,Table_3,,NA
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Cerro Lago,-32.819,-55.219,Google_maps,T4,treatment,T05,Chemical,Synthetic,Formamidine,Amitraz,Amitraz,NA,NA,1,5,micrograms_per_capsule,R1,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Susceptible_Varroa_mortality,Percent,100,NA,5,1,Provided_in_paper,Table_3,,HIGH
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Colonia,-34.188,-57.618,Google_maps,T1,control,C01,control,control,control,control,control,NA,NA,NA,NA,NA,R2,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Resistant_Varroa_mortality,Percent,7.5,NA,5,NA,Provided_in_paper,Table_3,,control
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Colonia,-34.188,-57.618,Google_maps,T1,treatment,T01,Chemical,Synthetic,Organophosphate,Coumaphos,Coumaphos,NA,NA,1,2.5,micrograms_per_capsule,R2,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Resistant_Varroa_mortality,Percent,7,NA,20,0,Provided_in_paper,Table_4,,LOW
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Colonia,-34.188,-57.618,Google_maps,T1,treatment,T02,Chemical,Synthetic,Organophosphate,Coumaphos,Coumaphos,NA,NA,1,5,micrograms_per_capsule,R2,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Resistant_Varroa_mortality,Percent,11,NA,20,0,Provided_in_paper,Table_4,,NA
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Colonia,-34.188,-57.618,Google_maps,T1,treatment,T03,Chemical,Synthetic,Organophosphate,Coumaphos,Coumaphos,NA,NA,1,10,micrograms_per_capsule,R2,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Resistant_Varroa_mortality,Percent,21,NA,20,1,Provided_in_paper,Table_4,,MEDIUM
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Colonia,-34.188,-57.618,Google_maps,T1,treatment,T04,Chemical,Synthetic,Organophosphate,Coumaphos,Coumaphos,NA,NA,1,20,micrograms_per_capsule,R2,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Resistant_Varroa_mortality,Percent,28,NA,20,1,Provided_in_paper,Table_4,,NA
Darren,study_001,Susceptibility of Varroa destructor Acari Varroidae to synthetic acaricides in Uruguay Varroa mites potential to develop acaricide resistance,Parasitology Research,2011,Published_paper,English,Lab,Apis_mellifera,South_America,Uruguay,Colonia,-34.188,-57.618,Google_maps,T1,treatment,T05,Chemical,Synthetic,Organophosphate,Coumaphos,Coumaphos,NA,NA,1,40,micrograms_per_capsule,R2,Varroa,Varroa_adult,VarroaReduction,Varroa_mortality,Resistant_Varroa_mortality,Percent,24.5,NA,20,1,Provided_in_paper,Table_4,,HIGH
